Model,Accuracy,F1 (macro),F1 (weighted),Precision_0 (Dead),Precision_1 (Alive),Recall_0 (Dead),Recall_1 (Alive),ROC_AUC
LinearRegression_Default,0.8248447204968944,0.7342581211589113,0.8419983531374913,0.45754716981132076,0.9561551433389545,0.7886178861788617,0.8313782991202346,0.8889206780630856
LogisticRegression_Default,0.8161490683229814,0.7240852246410375,0.8347598238199765,0.4423963133640553,0.9540816326530612,0.7804878048780488,0.8225806451612904,0.8897313020051022
RandomForest_Default,0.8906832298136645,0.783056079574687,0.8891646809566771,0.6521739130434783,0.9304347826086956,0.6097560975609756,0.9413489736070382,0.8813806833082993
XGBoost_Default,0.8968944099378882,0.7839806531501676,0.892432182435968,0.7,0.924822695035461,0.5691056910569106,0.9560117302052786,0.8388288868225925
LogisticRegression_Tuned,0.8124223602484472,0.7214756258234519,0.831995679179044,0.4369369369369369,0.9554030874785592,0.7886178861788617,0.8167155425219942,0.8888133896001715
RandomForest_Tuned,0.8894409937888199,0.7798255076044635,0.8877041286908283,0.6491228070175439,0.9290882778581766,0.6016260162601627,0.9413489736070382,0.8804150871420737
